2026-03-25 19:55:13,891 | INFO | rag_pipeline | Question ID 2 -> Success: True
2026-03-25 19:55:14,242 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:14,242 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:55:16,376 | INFO | rag_pipeline | Question ID 3 -> Success: True
2026-03-25 19:55:16,908 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:16,908 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:55:18,675 | INFO | rag_pipeline | Question ID 4 -> Success: True
2026-03-25 19:55:19,025 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:19,025 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:55:21,590 | INFO | rag_pipeline | Question ID 5 -> Success: True
2026-03-25 19:55:22,522 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:22,524 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:55:24,597 | INFO | rag_pipeline | Question ID 6 -> Success: True
2026-03-25 19:55:24,899 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:24,899 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:55:27,126 | INFO | rag_pipeline | Question ID 7 -> Success: False
2026-03-25 19:55:27,495 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:27,495 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:55:29,985 | INFO | rag_pipeline | Question ID 8 -> Success: True
2026-03-25 19:55:30,318 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:30,318 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:55:31,887 | INFO | rag_pipeline | Question ID 9 -> Success: False
2026-03-25 19:55:32,461 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:32,461 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:55:34,704 | INFO | rag_pipeline | Question ID 10 -> Success: True
2026-03-25 19:55:35,116 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:35,116 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:55:37,265 | INFO | rag_pipeline | Question ID 11 -> Success: False
2026-03-25 19:55:37,632 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:37,632 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:55:39,406 | INFO | rag_pipeline | Question ID 12 -> Success: True
2026-03-25 19:55:39,837 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:39,837 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:55:43,921 | INFO | rag_pipeline | Question ID 13 -> Success: True
2026-03-25 19:55:44,310 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:44,310 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:55:45,253 | INFO | rag_pipeline | Question ID 14 -> Success: False
2026-03-25 19:55:45,594 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:45,594 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:55:48,219 | INFO | rag_pipeline | Question ID 15 -> Success: False
2026-03-25 19:55:48,856 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:48,857 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:55:49,673 | INFO | rag_pipeline | Question ID 16 -> Success: False
2026-03-25 19:55:50,243 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:50,243 | INFO | rag_pipeline | 2 documents après déduplication
2026-03-25 19:55:51,807 | INFO | rag_pipeline | Question ID 17 -> Success: True
2026-03-25 19:55:52,123 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:52,123 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:55:54,767 | INFO | rag_pipeline | Question ID 18 -> Success: False
2026-03-25 19:55:55,088 | INFO | rag_pipeline | Top 3 documents récupérés
2026-03-25 19:55:55,088 | INFO | rag_pipeline | 3 documents après déduplication
2026-03-25 19:55:57,429 | INFO | rag_pipeline | Question ID 19 -> Success: False
2026-03-25 19:55:57,429 | INFO | rag_pipeline | ✅ Évaluation terminée. Résultats sauvegardés dans evaluation/rag_eval_results.json
2026-03-25 19:55:57,445 | INFO | rag_pipeline | 📊 Total questions : 19
2026-03-25 19:55:57,445 | INFO | rag_pipeline | 📊 Réponses correctes : 11
2026-03-25 19:55:57,445 | INFO | rag_pipeline | 📊 Accuracy globale : 57.89%
